Ad ID,Start Date (in UTC),Campaign Name,Campaign Objective,Total Spent,Impressions,Reach,Clicks,Leads,Video Views,Campaign Status
127028503,02/01/2021,GE_AMD Transactional (Workloads)_Image_contacts Q2/21_Ger,Website visits,2721.35 ,84691,31025,151,0,,Active
127028753,02/01/2021,GE_AMD Transactional (Workloads)_Image_contacts Q2/21_Ger,Website visits,1552.42 ,50881,23566,79,0,,Active
127029203,02/01/2021,GE_AMD Transactional (Workloads)_Image_Job Titles Q2/21 Ger,Website visits,627.98 ,15587,9795,40,0,,Completed
127029213,02/01/2021,GE_AMD Transactional (Workloads)_Image_Job Titles Q2/21 Ger,Website visits,772.02 ,17187,9767,48,0,,Completed
127030693,02/01/2021,GE_AMD Transactional (Virtualization)_Image_Contacts Q2/21 Ger,Website visits,88.97 ,5253,5200,10,0,,Active
127030703,02/01/2021,GE_AMD Transactional (Virtualization)_Image_Contacts Q2/21 Ger,Website visits,152.30 ,9064,7721,16,0,,Active
127031793,02/01/2021,GE_AMD Transactional (Virtualization)_Image_Job Titles Q2/21 Ger,Website visits,122.97 ,4245,3034,12,0,,Completed
127031803,02/01/2021,GE_AMD Transactional (Virtualization)_Image_Job Titles Q2/21 Ger,Website visits,177.03 ,3245,2574,13,0,,Completed
127193163,02/01/2021,GE_G1_ColdPlay (SAPaaS)_videos_Q2/21_contacts,Website visits,0.00 ,294,205,0,0,94,Active
127193423,02/01/2021,GE_G1_ColdPlay (SAPaaS)_videos_Q2/21_job titles,Website visits,52.86 ,1154,1079,4,0,266,Active
127194783,02/01/2021,GE_G1_ColdPlay _v.ampl_videos_Q2/21_contacts,Website visits,0.00 ,9,8,0,0,0,Active
127195433,02/01/2021,GE_G1_ColdPlay _v.ampl_videos_Q2/21_job titles,Website visits,22.16 ,1541,1364,2,0,287,Active
127197743,02/01/2021,GE_G5_Insight On Demand_AI Bundles Q2/21_contacts,Website visits,251.14 ,19933,19933,34,0,,Paused
127197843,02/01/2021,GE_G5_Insight On Demand_AI Bundles Q2/21_job titles,Website visits,0.00 ,947,947,0,0,,Active
127293773,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_accounts,Website visits,7603.47 ,140249,55467,371,0,28128,Active
127429763,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_contacts,Website visits,83.77 ,840,347,3,0,273,Completed
127430183,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_contacts,Website visits,0.00 ,192,144,0,0,59,Completed
127430203,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_contacts,Website visits,66.23 ,778,339,2,0,213,Completed
127431263,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_job titles,Website visits,3300.08 ,37554,14234,100,0,9041,Completed
127431693,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_job titles,Website visits,936.31 ,11799,7576,21,0,2278,Completed
127431703,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_job titles,Website visits,23.62 ,2483,2149,2,0,537,Completed
127432283,02/01/2021,GE_G5_Insight On Demand_AI Bundles_image Q2/21_contacts,Website visits,2820.96 ,154571,114169,330,0,,Active
127432443,02/01/2021,GE_G5_Insight On Demand_AI Bundles_image_Q2/21_job titles,Website visits,182.59 ,6400,4618,12,0,,Completed
129286423,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_accounts,Website visits,59.31 ,3342,3342,2,0,559,Active
129286513,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_accounts,Website visits,242.16 ,7327,5773,9,0,1329,Active
129287763,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_accounts,Website visits,1261.74 ,28860,21570,65,0,5297,Active
129287863,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_accounts,Website visits,366.32 ,8237,7123,12,0,1408,Active
129288073,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_accounts,Website visits,472.76 ,11290,8937,22,0,1849,Active
129312813,02/01/2021,GE_G5_Insight On Demand_AI Bundles_image_Q2/21_job titles,Website visits,267.41 ,6351,4438,5,0,,Completed
130857303,02/01/2021,DACH_G5 Innovation & Insight on Demand_Q2/21_Job Titles,Website visits,306.82 ,3576,2924,11,0,,Completed
131308373,02/01/2021,DACH_G1 Cloud That Comes To You_Leads_Q2/21_accounts+ companies,Website visits,20.74 ,196,196,2,0,39,Active
131380403,02/01/2021,DACH_G5 Innovation & Insight on Demand_Q2/21_Job Titles,Website visits,1939.86 ,22566,11614,55,0,,Completed
131383223,02/01/2021,DACH_G1 Cloud That Comes To You_Leads_Q2/21_Job TItles,Website visits,2248.46 ,20458,10503,61,0,4910,Completed
131744183,02/01/2021,DE_SMB/Transactional_NVIDIA_Image to Website_Q2/21_Accounts + Job Titles,Website visits,9738.98 ,198838,114749,424,0,,Active
131977203,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_skills,Website visits,5275.85 ,85633,73425,222,0,19241,Completed
131977213,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_skills,Website visits,364.15 ,6647,6227,8,0,1351,Completed
131984333,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_Eng_skills,Website visits,403.67 ,10360,7867,20,0,1950,Completed
131984473,02/01/2021,GE_G1_ColdPlay_videos_Q2/21_Eng_skills,Website visits,8596.33 ,175831,95479,486,0,38606,Completed
132829183,02/01/2021,CH_Lang-de_G1_Cloud That Comes To You_Leads_Image to Website_Q2/21_Job TItles,Website visits,1764.85 ,20736,4954,48,0,,Active
132831563,02/01/2021,CH_Lang-fr_G1_Cloud That Comes To You_Leads_Image to Website_Q2/21_Job TItles,Website visits,1026.36 ,10276,1527,30,0,,Active
133225133,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_accounts,Lead generation,1060.65 ,35803,28433,89,0,,Completed
